Sample,"Date, Time",Latitude,Longitude,EH (Ellipsoidal Height),3DRMS,EH (cm),Distance (km),,,Distance (m)
VBS1,"10/5, 1425",-38.67039639,145.7906517,6.859,0.109,685.9,0,0,0,0
VBS2,"10/5, 1431",-38.67035985,145.7906573,5.804,0.027,580.4,0.233665142,0.233665142,4.092,4.092
VBS3,"10/5, 1437",-38.67032579,145.7906665,4.763,0.025,476.3,0.219502399,0.453167541,3.8706,7.9626
VBS4,"10/5, 1444",-38.67029055,145.7906672,4.625,0.013,462.5,0.224528141,0.677695682,3.919,11.8816
VBS5,"10/5, 1451",-38.67027133,145.7907137,4.705,0.014,470.5,0.207231731,0.884927413,4.568,16.4496
VBS6,"10/5, 1458",-38.67021661,145.7907259,4.662,0.011,466.2,0.351370056,1.236297469,6.176,22.6256
VBS7,"10/5, 1505",-38.66992819,145.7911805,4.547,0.012,454.7,2.459588922,3.695886391,50.85,73.4756
VBS8,"10/5, 1512",-38.6694719,145.7912607,4.503,0.009,450.3,2.921313532,6.617199923,51.21,124.6856
VBS9,"10/5, 1519",-38.66923608,145.7915153,4.34,0.011,434,1.759952455,8.377152378,34.295,158.9806
VBS10,"10/5, 1526",-38.6686939,145.7917565,4.544,0.017,454.4,3.56183065,11.93898303,63.82,222.8006
VBS11,"10/5, 1533",-38.6682399,145.7920544,4.586,0.011,458.6,3.085359384,15.02434241,56.72,279.5206
VBS12,"10/5, 1540",-38.66785599,145.7923446,4.543,0.01,454.3,2.660476944,17.68481936,49.57,329.0906
VBS13,"10/5, 1547",-38.66743439,145.7929377,4.542,0.01,454.2,3.434672712,21.11949207,69.64,398.7306
VBS14,"10/5, 1553",-38.66716774,145.7929377,4.483,0.011,448.3,1.69882715,22.81831922,29.65,428.3806
VBS15,"10/5, 1600",-38.66692839,145.7932231,4.468,0.009,446.8,1.840709491,24.65902871,36.36,464.7406
VBS16,"10/5, 1605",-38.66674498,145.793466,4.224,0.0016,422.4,1.461431695,26.1204604,29.337,494.0776
VBS17,"10/5, 1610",,,,,,,,,
